sr,shape_id,shape_pt_lat,shape_pt_lon,shape_dist_traveled,shape_pt_sequence
573,c1_1,1.20223,-77.2712,9.7,574
574,c1_1,1.20213,-77.27107,9.72,575
575,c1_1,1.20198,-77.27089,9.75,576
576,c1_1,1.2019,-77.27085,9.76,577
577,c1_1,1.2019,-77.27082,9.76,578
578,c1_1,1.20185,-77.27077,9.77,579
579,c1_1,1.20185,-77.27074,9.77,580
580,c1_1,1.2018,-77.2707,9.78,581
581,c1_1,1.20181,-77.27064,9.79,582
582,c1_1,1.20166,-77.27042,9.82,583
583,c1_1,1.20158,-77.27037,9.83,584
584,c1_1,1.20158,-77.27031,9.84,585
585,c1_1,1.20152,-77.27023,9.85,586
586,c1_1,1.20144,-77.2702,9.86,587
587,c1_1,1.2014,-77.27019,9.86,588
588,c1_1,1.20136,-77.27023,9.87,589
589,c1_1,1.20136,-77.27028,9.88,590
590,c1_1,1.2013,-77.27029,9.89,591
591,c1_1,1.20126,-77.27033,9.9,592
592,c1_1,1.2012,-77.27039,9.91,593
593,c1_1,1.20111,-77.27049,9.92,594
594,c1_1,1.20099,-77.27062,9.94,595
595,c1_1,1.20096,-77.27071,9.95,596
596,c1_1,1.2009,-77.27072,9.96,597
597,c1_1,1.20084,-77.2708,9.97,598
598,c1_1,1.20075,-77.27092,9.99,599
599,c1_1,1.20066,-77.27106,10.01,600
600,c1_1,1.20057,-77.27119,10.03,601
601,c1_1,1.20056,-77.27127,10.04,602
602,c1_1,1.2005,-77.27129,10.05,603
603,c1_1,1.20047,-77.27134,10.06,604
604,c1_1,1.20038,-77.27144,10.07,605
605,c1_1,1.2003,-77.27156,10.09,606
606,c1_1,1.20029,-77.27163,10.1,607
607,c1_1,1.20027,-77.27161,10.1,608
608,c1_1,1.20023,-77.27165,10.11,609
609,c1_1,1.20024,-77.2717,10.12,610
610,c1_1,1.20018,-77.2717,10.13,611
611,c1_1,1.19993,-77.27205,10.18,612
612,c1_1,1.19974,-77.27233,10.22,613
613,c1_1,1.19959,-77.27254,10.25,614
614,c1_1,1.19938,-77.27288,10.29,615
615,c1_1,1.19939,-77.27296,10.3,616
616,c1_1,1.19933,-77.27299,10.31,617
617,c1_1,1.19922,-77.27325,10.34,618
618,c1_1,1.19922,-77.27333,10.35,619
619,c1_1,1.19917,-77.27336,10.36,620
620,c1_1,1.19913,-77.27344,10.37,621
621,c1_1,1.19914,-77.27352,10.38,622
622,c1_1,1.1991,-77.27355,10.39,623
623,c1_1,1.19907,-77.27361,10.4,624
624,c1_1,1.19902,-77.27376,10.42,625
625,c1_1,1.19902,-77.27386,10.43,626
626,c1_1,1.19896,-77.27393,10.44,627
627,c1_1,1.19892,-77.27405,10.45,628
628,c1_1,1.19887,-77.27421,10.47,629
629,c1_1,1.19879,-77.27442,10.49,630
630,c1_1,1.19875,-77.27454,10.5,631
631,c1_1,1.19868,-77.27474,10.52,632
632,c1_1,1.19869,-77.27482,10.53,633
633,c1_1,1.19863,-77.27484,10.54,634
634,c1_1,1.19858,-77.27495,10.55,635
635,c1_1,1.19849,-77.27516,10.58,636
636,c1_1,1.1984,-77.27534,10.6,637
637,c1_1,1.19841,-77.27542,10.61,638
638,c1_1,1.19836,-77.27546,10.62,639
639,c1_1,1.19832,-77.27556,10.63,640
640,c1_1,1.19826,-77.27571,10.65,641
641,c1_1,1.19828,-77.27577,10.66,642
642,c1_1,1.19822,-77.27575,10.67,643
643,c1_1,1.19813,-77.27576,10.68,644
644,c1_1,1.19794,-77.27579,10.7,645
645,c1_1,1.19766,-77.27583,10.73,646
646,c1_1,1.1976,-77.27588,10.74,647
647,c1_1,1.19762,-77.27582,10.75,648
648,c1_1,1.19759,-77.2757,10.76,649
649,c1_1,1.19754,-77.27547,10.79,650
650,c1_1,1.19749,-77.27543,10.8,651
651,c1_1,1.19743,-77.27537,10.81,652
652,c1_1,1.19733,-77.27532,10.82,653
653,c1_1,1.19722,-77.27528,10.83,654
654,c1_1,1.19711,-77.27523,10.84,655
655,c1_1,1.19702,-77.27519,10.85,656
656,c1_1,1.19686,-77.27512,10.87,657
657,c1_1,1.19679,-77.27511,10.88,658
658,c1_1,1.1967,-77.27509,10.89,659
659,c1_1,1.19658,-77.27504,10.9,660
660,c1_1,1.19645,-77.27499,10.92,661
661,c1_1,1.19636,-77.27499,10.93,662
662,c1_1,1.19627,-77.27496,10.94,663
663,c1_1,1.19621,-77.27491,10.95,664
664,c1_1,1.19599,-77.27482,10.98,665
665,c1_1,1.19591,-77.27483,10.99,666
666,c1_1,1.19587,-77.27479,11.0,667
667,c1_1,1.19577,-77.27475,11.01,668
668,c1_1,1.19564,-77.27471,11.03,669
669,c1_1,1.19543,-77.27462,11.06,670
670,c1_1,1.19534,-77.27463,11.07,671
671,c1_1,1.19531,-77.2746,11.07,672
672,c1_1,1.19521,-77.27456,11.08,673
673,c1_1,1.19513,-77.27456,11.09,674
674,c1_1,1.19511,-77.27453,11.09,675
675,c1_1,1.19504,-77.27451,11.1,676
676,c1_1,1.19495,-77.27446,11.11,677
677,c1_1,1.19486,-77.27446,11.12,678
678,c1_1,1.19483,-77.27442,11.13,679
679,c1_1,1.19478,-77.2744,11.14,680
680,c1_1,1.19467,-77.27437,11.15,681
681,c1_1,1.19447,-77.27429,11.17,682
682,c1_1,1.19439,-77.27429,11.18,683
683,c1_1,1.19434,-77.27425,11.19,684
684,c1_1,1.19433,-77.27424,11.19,685
685,c1_1,1.19419,-77.27419,11.21,686
686,c1_1,1.19407,-77.27415,11.22,687
687,c1_1,1.19396,-77.27411,11.23,688
688,c1_1,1.19376,-77.27404,11.25,689
689,c1_1,1.19368,-77.27405,11.26,690
690,c1_1,1.19366,-77.27401,11.26,691
691,c1_1,1.19354,-77.27395,11.27,692
692,c1_1,1.19346,-77.27396,11.28,693
693,c1_1,1.19342,-77.27397,11.28,694
694,c1_1,1.19339,-77.27402,11.29,695
695,c1_1,1.19333,-77.27412,11.3,696
696,c1_1,1.19332,-77.27418,11.31,697
697,c1_1,1.19327,-77.27421,11.32,698
698,c1_1,1.19326,-77.27424,11.32,699
699,c1_1,1.19323,-77.27432,11.33,700
700,c1_1,1.1932,-77.27442,11.34,701
701,c1_1,1.19317,-77.27457,11.36,702
702,c1_1,1.19312,-77.27473,11.38,703
703,c1_1,1.19315,-77.27478,11.39,704
704,c1_1,1.1931,-77.27482,11.4,705
705,c1_1,1.1931,-77.27486,11.4,706
706,c1_1,1.19306,-77.275,11.42,707
707,c1_1,1.19304,-77.27514,11.44,708
708,c1_1,1.19301,-77.27537,11.47,709
709,c1_1,1.19305,-77.27541,11.48,710
710,c1_1,1.19299,-77.27543,11.49,711
711,c1_1,1.19297,-77.27566,11.52,712
712,c1_1,1.19301,-77.2757,11.53,713
713,c1_1,1.19296,-77.27571,11.54,714
714,c1_1,1.19295,-77.27574,11.54,715
715,c1_1,1.19299,-77.27579,11.55,716
716,c1_1,1.19293,-77.27585,11.56,717
717,c1_1,1.1929,-77.27603,11.58,718
718,c1_1,1.19293,-77.27609,11.59,719
719,c1_1,1.19288,-77.27615,11.6,720
720,c1_1,1.19284,-77.27646,11.63,721
721,c1_1,1.19286,-77.27653,11.64,722
722,c1_1,1.1928,-77.27658,11.65,723
723,c1_1,1.19278,-77.2767,11.66,724
724,c1_1,1.19281,-77.27675,11.67,725
725,c1_1,1.19274,-77.27672,11.68,726
726,c1_1,1.19262,-77.27674,11.69,727
727,c1_1,1.19242,-77.27677,11.71,728
728,c1_1,1.19222,-77.27678,11.73,729
729,c1_1,1.19216,-77.27682,11.74,730
730,c1_1,1.19212,-77.27688,11.75,731
731,c1_1,1.19206,-77.27712,11.78,732
732,c1_1,1.19208,-77.27718,11.79,733
733,c1_1,1.19204,-77.27722,11.8,734
734,c1_1,1.19204,-77.27726,11.8,735
735,c1_1,1.19203,-77.27735,11.81,736
736,c1_1,1.19202,-77.27736,11.81,737
737,c1_1,1.192,-77.27745,11.82,738
738,c1_1,1.19197,-77.2775,11.83,739
739,c1_1,1.19194,-77.27755,11.84,740
740,c1_1,1.1919,-77.27761,11.85,741
741,c1_1,1.19189,-77.27768,11.86,742
742,c1_1,1.19183,-77.2777,11.87,743
743,c1_1,1.19181,-77.27776,11.88,744
744,c1_1,1.19178,-77.2778,11.89,745
745,c1_1,1.19175,-77.27782,11.89,746
746,c1_1,1.19167,-77.27788,11.9,747
747,c1_1,1.19157,-77.27791,11.91,748
748,c1_1,1.19146,-77.27791,11.92,749
749,c1_1,1.19138,-77.27793,11.93,750
750,c1_1,1.19134,-77.27789,11.94,751
751,c1_1,1.19131,-77.27787,11.94,752
752,c1_1,1.19116,-77.27781,11.96,753
753,c1_1,1.19096,-77.2777,11.99,754
754,c1_1,1.19082,-77.27762,12.01,755
755,c1_1,1.19065,-77.27752,12.03,756
756,c1_1,1.19055,-77.27745,12.04,757
757,c1_1,1.19046,-77.27736,12.05,758
758,c1_1,1.19038,-77.27723,12.07,759
759,c1_1,1.19032,-77.27715,12.08,760
760,c1_1,1.19025,-77.27705,12.09,761
761,c1_1,1.19016,-77.27693,12.11,762
762,c1_1,1.19008,-77.27689,12.12,763
763,c1_1,1.19011,-77.27684,12.13,764
764,c1_1,1.19009,-77.27671,12.14,765
765,c1_1,1.19006,-77.27667,12.15,766
766,c1_1,1.19009,-77.27663,12.16,767
767,c1_1,1.19011,-77.27658,12.17,768
768,c1_1,1.1901,-77.27654,12.17,769
769,c1_1,1.19015,-77.2765,12.18,770
770,c1_1,1.19018,-77.27642,12.19,771
771,c1_1,1.19017,-77.27637,12.2,772
772,c1_1,1.19017,-77.2763,12.21,773
773,c1_1,1.19016,-77.27627,12.21,774
774,c1_1,1.19013,-77.27621,12.22,775
775,c1_1,1.19007,-77.27601,12.24,776
776,c1_1,1.19002,-77.27597,12.25,777
777,c1_1,1.19002,-77.27591,12.26,778
778,c1_1,1.19,-77.27587,12.26,779
779,c1_1,1.18992,-77.27574,12.28,780
780,c1_1,1.18985,-77.2757,12.29,781
781,c1_1,1.18985,-77.27564,12.3,782
782,c1_1,1.1898,-77.27558,12.31,783
783,c1_1,1.18972,-77.2755,12.32,784
784,c1_1,1.18963,-77.27548,12.33,785
785,c1_1,1.18962,-77.27542,12.34,786
786,c1_1,1.1896,-77.27538,12.34,787
787,c1_1,1.18951,-77.27529,12.35,788
788,c1_1,1.18951,-77.27528,12.35,789
789,c1_1,1.18945,-77.27524,12.36,790
790,c1_1,1.18937,-77.27517,12.37,791
791,c1_1,1.18929,-77.27517,12.38,792
792,c1_1,1.18935,-77.27512,12.39,793
793,c1_1,1.18943,-77.27494,12.41,794
794,c1_1,1.18942,-77.27488,12.42,795
795,c1_1,1.18948,-77.27484,12.43,796
796,c1_1,1.18954,-77.27469,12.45,797
797,c1_1,1.18953,-77.27464,12.46,798
798,c1_1,1.18958,-77.27461,12.47,799
799,c1_1,1.18963,-77.27451,12.48,800
800,c1_1,1.18961,-77.27445,12.49,801
801,c1_1,1.18957,-77.27441,12.5,802
802,c1_1,1.18939,-77.27433,12.52,803
803,c1_1,1.18931,-77.27434,12.53,804
804,c1_1,1.18929,-77.27429,12.54,805
805,c1_1,1.18914,-77.27423,12.56,806
806,c1_1,1.18906,-77.27423,12.57,807
807,c1_1,1.18903,-77.27418,12.58,808
808,c1_1,1.1888,-77.27408,12.61,809
809,c1_1,1.18872,-77.27408,12.62,810
810,c1_1,1.1887,-77.27404,12.62,811
811,c1_1,1.18851,-77.27396,12.64,812
812,c1_1,1.18843,-77.27396,12.65,813
813,c1_1,1.1884,-77.27391,12.66,814
814,c1_1,1.18824,-77.27384,12.68,815
815,c1_1,1.18815,-77.27384,12.69,816
816,c1_1,1.18813,-77.2738,12.69,817
817,c1_1,1.18799,-77.27373,12.71,818
818,c1_1,1.18791,-77.27374,12.72,819
819,c1_1,1.18791,-77.27368,12.73,820
820,c1_1,1.18788,-77.27366,12.73,821
821,c1_1,1.1878,-77.27369,12.74,822
822,c1_1,1.18779,-77.27364,12.75,823
823,c1_1,1.18773,-77.27362,12.76,824
824,c1_1,1.18765,-77.27362,12.77,825
825,c1_1,1.18763,-77.27358,12.77,826
826,c1_1,1.18747,-77.2735,12.79,827
827,c1_1,1.18739,-77.27351,12.8,828
828,c1_1,1.18736,-77.27346,12.81,829
829,c1_1,1.18724,-77.27341,12.82,830
830,c1_1,1.18716,-77.27341,12.83,831
831,c1_1,1.18711,-77.27343,12.84,832
832,c1_1,1.1871,-77.27347,12.84,833
833,c1_1,1.18705,-77.27362,12.86,834
834,c1_1,1.18706,-77.27369,12.87,835
835,c1_1,1.18701,-77.27371,12.88,836
836,c1_1,1.18701,-77.27373,12.88,837
837,c1_1,1.18691,-77.27394,12.91,838
838,c1_1,1.1869,-77.27404,12.92,839
839,c1_1,1.18686,-77.27399,12.93,840
840,c1_1,1.18666,-77.27391,12.95,841
841,c1_1,1.18658,-77.27391,12.96,842
842,c1_1,1.18653,-77.27386,12.97,843
843,c1_1,1.18647,-77.27383,12.98,844
844,c1_1,1.18635,-77.27378,12.99,845
845,c1_1,1.18623,-77.27373,13.0,846
846,c1_1,1.18607,-77.27365,13.02,847
847,c1_1,1.18599,-77.27364,13.03,848
848,c1_1,1.18595,-77.27359,13.04,849
849,c1_1,1.18587,-77.27356,13.05,850
850,c1_1,1.18579,-77.27356,13.06,851
851,c1_1,1.18579,-77.27351,13.07,852
852,c1_1,1.18577,-77.27348,13.07,853
853,c1_1,1.18571,-77.27344,13.08,854
854,c1_1,1.18569,-77.2734,13.08,855
855,c1_1,1.18565,-77.27337,13.09,856
856,c1_1,1.18561,-77.27334,13.1,857
857,c1_1,1.18551,-77.27325,13.11,858
858,c1_1,1.18543,-77.27324,13.12,859
859,c1_1,1.1855,-77.2732,13.13,860
860,c1_1,1.18554,-77.27313,13.14,861
861,c1_1,1.1856,-77.27299,13.16,862
862,c1_1,1.18568,-77.2728,13.18,863
863,c1_1,1.18572,-77.27267,13.2,864
864,c1_1,1.1858,-77.2725,13.22,865
865,c1_1,1.18586,-77.27232,13.24,866
866,c1_1,1.18583,-77.27222,13.25,867
867,c1_1,1.18589,-77.27226,13.26,868
868,c1_1,1.18597,-77.2723,13.27,869
869,c1_1,1.18604,-77.27238,13.28,870
870,c1_1,1.1861,-77.27241,13.29,871
871,c1_1,1.18613,-77.27247,13.3,872
872,c1_1,1.18617,-77.27249,13.3,873
873,c1_1,1.18624,-77.27253,13.31,874
874,c1_1,1.18633,-77.27259,13.32,875
875,c1_1,1.18638,-77.27258,13.33,876
876,c1_1,1.18643,-77.27263,13.34,877
877,c1_1,1.18658,-77.27269,13.36,878
878,c1_1,1.18675,-77.27276,13.38,879
879,c1_1,1.18692,-77.27282,13.4,880
880,c1_1,1.18699,-77.27282,13.41,881
881,c1_1,1.18703,-77.27288,13.42,882
882,c1_1,1.18722,-77.27294,13.44,883
883,c1_1,1.18736,-77.27299,13.46,884
884,c1_1,1.18743,-77.27299,13.47,885
885,c1_1,1.18753,-77.27304,13.48,886
886,c1_1,1.18771,-77.27306,13.5,887
887,c1_1,1.18795,-77.2731,13.53,888
888,c1_1,1.18813,-77.27311,13.55,889
889,c1_1,1.18831,-77.27315,13.57,890
890,c1_1,1.18837,-77.27312,13.58,891
891,c1_1,1.18839,-77.27316,13.58,892
892,c1_1,1.18843,-77.27316,13.58,893
893,c1_1,1.18845,-77.27313,13.58,894
894,c1_1,1.1885,-77.27317,13.59,895
895,c1_1,1.18869,-77.27321,13.61,896
896,c1_1,1.18876,-77.27318,13.62,897
897,c1_1,1.18884,-77.27323,13.63,898
898,c1_1,1.18901,-77.27322,13.65,899
899,c1_1,1.18916,-77.27318,13.67,900
900,c1_1,1.18926,-77.27316,13.68,901
901,c1_1,1.18935,-77.27312,13.69,902
902,c1_1,1.18941,-77.2731,13.7,903
903,c1_1,1.18945,-77.27305,13.71,904
904,c1_1,1.18953,-77.27306,13.72,905
905,c1_1,1.18954,-77.27305,13.72,906
906,c1_1,1.18969,-77.27301,13.74,907
907,c1_1,1.1898,-77.27298,13.75,908
908,c1_1,1.18987,-77.27298,13.76,909
909,c1_1,1.18991,-77.27294,13.77,910
910,c1_1,1.18997,-77.27298,13.78,911
911,c1_1,1.19004,-77.27299,13.79,912
912,c1_1,1.19016,-77.27301,13.8,913
913,c1_1,1.19021,-77.27299,13.81,914
914,c1_1,1.19024,-77.27304,13.82,915
915,c1_1,1.19031,-77.27305,13.83,916
916,c1_1,1.19046,-77.2731,13.85,917
917,c1_1,1.19053,-77.27308,13.86,918
918,c1_1,1.19055,-77.27313,13.87,919
919,c1_1,1.19075,-77.2732,13.89,920
920,c1_1,1.19081,-77.27317,13.9,921
921,c1_1,1.19088,-77.27321,13.91,922
922,c1_1,1.19101,-77.2732,13.92,923
923,c1_1,1.19111,-77.27318,13.93,924
924,c1_1,1.19126,-77.27316,13.95,925
925,c1_1,1.19142,-77.27313,13.97,926
926,c1_1,1.19157,-77.27311,13.99,927
927,c1_1,1.19162,-77.27307,14.0,928
928,c1_1,1.19169,-77.27311,14.01,929
929,c1_1,1.19176,-77.27311,14.02,930
930,c1_1,1.19196,-77.27311,14.04,931
931,c1_1,1.19202,-77.27308,14.05,932
932,c1_1,1.1921,-77.2731,14.06,933
933,c1_1,1.19216,-77.27308,14.07,934
934,c1_1,1.19227,-77.27306,14.08,935
935,c1_1,1.19241,-77.27302,14.1,936
936,c1_1,1.19246,-77.27297,14.11,937
937,c1_1,1.19254,-77.27298,14.12,938
938,c1_1,1.1926,-77.27296,14.13,939
939,c1_1,1.19274,-77.27291,14.15,940
940,c1_1,1.19277,-77.27286,14.16,941
941,c1_1,1.19285,-77.27288,14.17,942
942,c1_1,1.19302,-77.27284,14.19,943
943,c1_1,1.19306,-77.2728,14.2,944
944,c1_1,1.19311,-77.27285,14.21,945
945,c1_1,1.19315,-77.27285,14.21,946
946,c1_1,1.19323,-77.27286,14.22,947
947,c1_1,1.1933,-77.27288,14.23,948
948,c1_1,1.19337,-77.2729,14.24,949
949,c1_1,1.19335,-77.27295,14.25,950
950,c1_1,1.19337,-77.27297,14.25,951
951,c1_1,1.19338,-77.27307,14.26,952
952,c1_1,1.1934,-77.27312,14.27,953
953,c1_1,1.19342,-77.27317,14.28,954
954,c1_1,1.19347,-77.27319,14.29,955
955,c1_1,1.19371,-77.27331,14.32,956
956,c1_1,1.19378,-77.27331,14.33,957
957,c1_1,1.19385,-77.27328,14.34,958
958,c1_1,1.19385,-77.27327,14.34,959
959,c1_1,1.19392,-77.27311,14.36,960
960,c1_1,1.194,-77.27293,14.38,961
961,c1_1,1.1941,-77.27273,14.4,962
962,c1_1,1.19421,-77.27253,14.43,963
963,c1_1,1.1942,-77.27244,14.44,964
964,c1_1,1.19425,-77.2724,14.45,965
965,c1_1,1.19428,-77.27217,14.48,966
966,c1_1,1.19425,-77.27212,14.49,967
967,c1_1,1.1943,-77.27206,14.5,968
968,c1_1,1.19433,-77.27156,14.56,969
969,c1_1,1.19428,-77.27149,14.57,970
970,c1_1,1.19433,-77.27145,14.58,971
971,c1_1,1.19433,-77.27143,14.58,972
972,c1_1,1.19429,-77.27139,14.59,973
973,c1_1,1.19434,-77.27134,14.6,974
974,c1_1,1.19433,-77.2711,14.63,975
975,c1_1,1.19431,-77.27082,14.66,976
976,c1_1,1.19429,-77.2706,14.68,977
977,c1_1,1.19428,-77.27051,14.69,978
978,c1_1,1.19421,-77.27024,14.72,979
979,c1_1,1.19415,-77.27019,14.73,980
980,c1_1,1.19419,-77.27015,14.74,981
981,c1_1,1.19418,-77.27009,14.75,982
982,c1_1,1.19421,-77.27001,14.76,983
983,c1_1,1.19427,-77.26984,14.78,984
984,c1_1,1.19434,-77.26966,14.8,985
985,c1_1,1.19441,-77.26949,14.82,986
986,c1_1,1.19439,-77.26943,14.83,987
987,c1_1,1.19445,-77.26939,14.84,988
988,c1_1,1.19448,-77.26932,14.85,989
989,c1_1,1.19455,-77.26915,14.87,990
990,c1_1,1.19452,-77.26908,14.88,991
991,c1_1,1.1946,-77.26904,14.89,992
992,c1_1,1.19462,-77.26903,14.89,993
993,c1_1,1.19466,-77.26899,14.9,994
994,c1_1,1.19477,-77.26892,14.91,995
995,c1_1,1.19487,-77.26886,14.92,996
996,c1_1,1.19496,-77.26882,14.93,997
997,c1_1,1.19509,-77.26874,14.95,998
998,c1_1,1.19511,-77.26868,14.96,999
999,c1_1,1.19518,-77.26869,14.97,1000
1000,c1_1,1.19521,-77.26867,14.97,1001
1001,c1_1,1.19528,-77.26863,14.98,1002
1002,c1_1,1.19538,-77.26858,14.99,1003
1003,c1_1,1.19544,-77.26854,15.0,1004
1004,c1_1,1.19554,-77.26847,15.01,1005
1005,c1_1,1.19554,-77.26841,15.02,1006
1006,c1_1,1.19562,-77.2684,15.03,1007
1007,c1_1,1.19565,-77.26837,15.03,1008
1008,c1_1,1.1957,-77.2683,15.04,1009
1009,c1_1,1.19569,-77.26823,15.05,1010
1010,c1_1,1.19576,-77.26819,15.06,1011
1011,c1_1,1.19577,-77.26814,15.07,1012
1012,c1_1,1.19578,-77.26806,15.08,1013
1013,c1_1,1.19573,-77.26802,15.09,1014
1014,c1_1,1.19579,-77.26799,15.1,1015
1015,c1_1,1.1958,-77.26797,15.1,1016
1016,c1_1,1.1958,-77.26791,15.11,1017
1017,c1_1,1.1958,-77.26785,15.12,1018
1018,c1_1,1.19574,-77.26781,15.13,1019
1019,c1_1,1.19582,-77.2678,15.14,1020
1020,c1_1,1.19582,-77.26779,15.14,1021
1021,c1_1,1.19584,-77.26775,15.14,1022
1022,c1_1,1.19584,-77.26773,15.14,1023
1023,c1_1,1.19584,-77.2677,15.14,1024
1024,c1_1,1.19579,-77.26766,15.15,1025
1025,c1_1,1.19588,-77.26766,15.16,1026
1026,c1_1,1.19591,-77.26765,15.16,1027
1027,c1_1,1.19594,-77.26764,15.16,1028
1028,c1_1,1.196,-77.26762,15.17,1029
1029,c1_1,1.1961,-77.2676,15.18,1030
1030,c1_1,1.19625,-77.26758,15.2,1031
1031,c1_1,1.19636,-77.26757,15.21,1032
1032,c1_1,1.19652,-77.26757,15.23,1033
1033,c1_1,1.19657,-77.26752,15.24,1034
1034,c1_1,1.1966,-77.26756,15.25,1035
1035,c1_1,1.19665,-77.26755,15.26,1036
1036,c1_1,1.1967,-77.26754,15.27,1037
1037,c1_1,1.19672,-77.26749,15.28,1038
1038,c1_1,1.19681,-77.2675,15.29,1039
1039,c1_1,1.197,-77.2674,15.31,1040
1040,c1_1,1.19702,-77.26735,15.32,1041
1041,c1_1,1.1971,-77.26734,15.33,1042
1042,c1_1,1.19716,-77.26732,15.34,1043
1043,c1_1,1.19717,-77.26726,15.35,1044
1044,c1_1,1.19725,-77.26726,15.36,1045
1045,c1_1,1.19744,-77.26717,15.38,1046
1046,c1_1,1.19745,-77.26711,15.39,1047
1047,c1_1,1.19751,-77.26715,15.4,1048
1048,c1_1,1.19749,-77.26709,15.41,1049
1049,c1_1,1.19754,-77.26713,15.42,1050
1050,c1_1,1.19759,-77.26712,15.43,1051
1051,c1_1,1.19774,-77.26709,15.45,1052
1052,c1_1,1.19789,-77.26707,15.47,1053
1053,c1_1,1.19792,-77.26703,15.48,1054
1054,c1_1,1.19797,-77.26709,15.49,1055
1055,c1_1,1.19804,-77.26711,15.5,1056
1056,c1_1,1.19814,-77.26716,15.51,1057
1057,c1_1,1.1983,-77.26721,15.53,1058
1058,c1_1,1.19835,-77.26718,15.54,1059
1059,c1_1,1.19838,-77.26722,15.55,1060
1060,c1_1,1.19851,-77.26723,15.56,1061
1061,c1_1,1.19864,-77.26722,15.57,1062
1062,c1_1,1.19875,-77.26721,15.58,1063
1063,c1_1,1.19882,-77.26718,15.59,1064
1064,c1_1,1.19887,-77.26715,15.6,1065
1065,c1_1,1.19888,-77.26708,15.61,1066
1066,c1_1,1.19894,-77.26703,15.62,1067
1067,c1_1,1.19896,-77.26698,15.63,1068
1068,c1_1,1.19901,-77.26695,15.64,1069
1069,c1_1,1.19903,-77.26702,15.65,1070
1070,c1_1,1.19905,-77.26706,15.65,1071
1071,c1_1,1.19911,-77.26714,15.66,1072
1072,c1_1,1.19922,-77.2673,15.68,1073
1073,c1_1,1.19931,-77.26742,15.7,1074
1074,c1_1,1.19937,-77.26746,15.71,1075
1075,c1_1,1.19939,-77.26753,15.72,1076
1076,c1_1,1.19946,-77.26761,15.73,1077
1077,c1_1,1.19953,-77.26772,15.74,1078
1078,c1_1,1.19957,-77.26784,15.75,1079
1079,c1_1,1.19963,-77.26791,15.76,1080
1080,c1_1,1.19962,-77.26799,15.77,1081
1081,c1_1,1.19967,-77.26815,15.79,1082
1082,c1_1,1.19971,-77.26818,15.8,1083
1083,c1_1,1.19967,-77.2682,15.8,1084
1084,c1_1,1.19965,-77.26825,15.81,1085
1085,c1_1,1.19964,-77.26831,15.82,1086
1086,c1_1,1.19965,-77.26839,15.83,1087
1087,c1_1,1.1997,-77.26844,15.84,1088
1088,c1_1,1.19966,-77.26846,15.84,1089
1089,c1_1,1.19965,-77.26854,15.85,1090
1090,c1_1,1.1996,-77.26865,15.86,1091
1091,c1_1,1.19952,-77.2688,15.88,1092
1092,c1_1,1.19951,-77.26888,15.89,1093
1093,c1_1,1.19946,-77.2689,15.9,1094
1094,c1_1,1.19944,-77.26893,15.9,1095
1095,c1_1,1.19936,-77.26905,15.92,1096
1096,c1_1,1.19936,-77.26909,15.92,1097
1097,c1_1,1.19932,-77.26907,15.92,1098
1098,c1_1,1.19925,-77.2691,15.93,1099
1099,c1_1,1.19918,-77.2691,15.94,1100
1100,c1_1,1.19912,-77.26913,15.95,1101
1101,c1_1,1.19905,-77.26915,15.96,1102
1102,c1_1,1.19903,-77.2692,15.97,1103
1103,c1_1,1.19899,-77.26918,15.97,1104
1104,c1_1,1.19893,-77.2692,15.98,1105
1105,c1_1,1.1989,-77.26925,15.99,1106
1106,c1_1,1.19886,-77.26924,15.99,1107
1107,c1_1,1.19881,-77.26931,16.0,1108
1108,c1_1,1.19881,-77.26937,16.01,1109
1109,c1_1,1.19879,-77.26941,16.01,1110
1110,c1_1,1.19877,-77.26945,16.01,1111
1111,c1_1,1.19869,-77.26977,16.05,1112
1112,c1_1,1.19871,-77.26986,16.06,1113
1113,c1_1,1.19875,-77.2699,16.07,1114
1114,c1_1,1.1988,-77.26996,16.08,1115
1115,c1_1,1.19894,-77.27007,16.1,1116
1116,c1_1,1.199,-77.27008,16.11,1117
1117,c1_1,1.19898,-77.27011,16.11,1118
1118,c1_1,1.19899,-77.27015,16.11,1119
1119,c1_1,1.19902,-77.27017,16.11,1120
1120,c1_1,1.19905,-77.27024,16.12,1121
1121,c1_1,1.19912,-77.27029,16.13,1122
1122,c1_1,1.19926,-77.27043,16.15,1123
1123,c1_1,1.19942,-77.27064,16.18,1124
1124,c1_1,1.19948,-77.27067,16.19,1125
1125,c1_1,1.19949,-77.27073,16.2,1126
1126,c1_1,1.19951,-77.27076,16.2,1127
1127,c1_1,1.19961,-77.27089,16.22,1128
1128,c1_1,1.1998,-77.27115,16.26,1129
1129,c1_1,1.20015,-77.27165,16.33,1130
1130,c1_1,1.20024,-77.2717,16.34,1131
1131,c1_1,1.20018,-77.2717,16.35,1132
1132,c1_1,1.19993,-77.27205,16.4,1133
1133,c1_1,1.19974,-77.27233,16.44,1134
1134,c1_1,1.19959,-77.27254,16.47,1135
1135,c1_1,1.19938,-77.27288,16.51,1136
1136,c1_1,1.19939,-77.27296,16.52,1137
1137,c1_1,1.19941,-77.27301,16.53,1138
1138,c1_1,1.19947,-77.27303,16.54,1139
1139,c1_1,1.19952,-77.27302,16.55,1140
1140,c1_1,1.19957,-77.27309,16.56,1141
1141,c1_1,1.19967,-77.27313,16.57,1142
